id,major_mm,minor_mm,area_px,r,g,b,luma
140,0.6625909843183801,0.16080374580696655,69,193,194,184,192.561
141,2.238573680940612,0.28488609407010573,413,160,161,151,159.56099999999998
142,3.1152328263710882,0.2889818964909495,583,157,156,148,155.387
143,0.8077600587426937,0.19498912461668613,102,179,180,172,178.789
144,1.5338825329861474,0.26476235730299985,263,160,160,149,158.74599999999998
145,2.3645129651790873,0.3435078269731965,526,156,156,145,154.74599999999998
146,0.5070597844436098,0.07004243910030804,23,174,176,170,174.718
147,0.13930003589374987,0.03325543392805311,3,178,179,174,178.131
148,1.3657443254504118,0.21142911622310034,187,159,159,151,158.088
149,1.8035185922246546,0.2714133660095116,317,134,133,121,131.931
150,0.05557267397945399,0.05557267397945399,1,115,114,102,112.931
151,1.0812590462049323,0.2099327396601861,147,154,156,143,153.92
152,0.2202526957837293,0.049076027368614356,7,222,222,217,221.43
153,0.5572001435749995,0.1385643080335546,50,197,201,194,199.00599999999997
154,0.7693095930768055,0.17663392387777963,88,186,188,180,186.49
155,1.015314760308349,0.2524643034441532,166,151,152,139,150.219
156,0.05557267397945399,0.05557267397945399,1,223,226,220,224.419
157,0.6625909843183801,0.13982934417997092,60,216,219,213,217.419
158,0.17757340031660146,0.026087708697252056,3,228,231,225,229.41899999999998
159,0.24625,0.037624228546924064,6,240,240,237,239.658
160,0.38465479653840273,0.08028814721717256,20,235,236,231,235.13099999999997
161,1.654829315216527,0.24821099954070155,266,152,152,139,150.518
162,2.5614735139173312,0.31046307318231225,515,145,146,133,144.219
163,1.3397448451104412,0.25471983904025913,221,152,152,142,150.85999999999999
164,0.7321538858054364,0.16028903461122973,76,191,193,185,191.48999999999998
165,0.8386972785218753,0.1712262350345699,93,190,192,183,190.37599999999998
166,0.13930003589374987,0.02217028928536874,2,240,240,237,239.658
167,0.7321538858054364,0.15607090212146055,74,207,210,204,208.419
168,0.7693095930768055,0.15656188707348648,78,210,214,207,212.006
169,0.6625909843183801,0.15381227859796803,66,203,206,200,204.419
170,0.38465479653840273,0.09233136929974844,23,222,225,216,223.07699999999997
171,1.1860970660110413,0.21220712689599697,163,170,172,163,170.37599999999998
172,0.11012634789186465,0.028043444210636776,2,185,185,183,184.772
173,0.38465479653840273,0.09634577666060708,24,228,231,222,229.07699999999997
174,0.7693095930768055,0.16258349811477443,81,194,197,183,194.50699999999998
175,1.742642892275982,0.26848920062604786,303,158,158,149,156.974
176,0.5930485330055206,0.13018842140858708,50,191,193,187,191.718
177,1.3251819686367603,0.27965868835994184,240,151,151,141,149.86
178,0.4540625645216747,0.125828383991269,37,226,229,220,227.07700000000003
179,0.48755012562812455,0.11718581479409187,37,225,228,222,226.41899999999998
180,0.13930003589374987,0.02217028928536874,2,178,178,176,177.772
181,1.153964389615208,0.2422025774384705,181,153,154,145,152.67499999999998
182,0.05557267397945399,0.05557267397945399,1,167,169,163,167.718
183,1.742642892275982,0.250767141178784,283,161,163,155,161.49
184,3.41107363047179,0.2000892553318167,442,178,172,154,171.74200000000002
185,0.5930485330055206,0.15362233726213279,59,175,177,167,175.262
186,0.6268501615218743,0.15026529404527703,61,206,208,200,206.49
187,1.488947321096351,0.2302322906197557,222,135,132,122,131.757
188,0.05557267397945399,0.05557267397945399,1,147,146,138,145.387
189,0.7787108738164633,0.15665470559642639,79,200,202,194,200.49
190,0.5572001435749995,0.1413355941942257,51,210,213,207,211.419
191,1.1230727937226508,0.23924007741307143,174,158,160,149,158.14799999999997
192,0.38465479653840273,0.09233136929974844,23,222,225,216,223.07699999999997
193,1.2927538677180588,0.2484506182623339,208,160,162,154,160.49
194,0.8473290388036987,0.1822386553390717,100,191,193,183,191.26199999999997
195,1.3306617244814702,0.22976830369760834,198,203,192,174,193.237
196,0.6307077373871356,0.1517945305168535,62,202,204,198,202.718
197,0.5572001435749995,0.13302173571221243,48,231,233,228,231.83199999999997
198,1.5338825329861474,0.29697678860982873,295,149,150,138,148.333
199,1.0539960270323603,0.2417339023644904,165,171,173,164,171.37599999999998
200,3.099621438579234,0.25456860150673755,511,171,171,163,170.088
201,0.39706619410370353,0.09333422403882892,24,233,235,228,233.60399999999998
202,0.5615363968613254,0.1319945254692808,48,206,208,201,206.60399999999998
203,0.05557267397945399,0.05557267397945399,1,194,185,168,185.753
204,0.7102936012664058,0.15652625218351232,72,120,118,103,116.88799999999999
205,0.5235346812771815,0.12387863932823864,42,231,233,225,231.48999999999998
206,0.38465479653840273,0.09634577666060708,24,223,225,216,223.37599999999998
207,0.5235346812771815,0.13272711356596995,45,226,229,220,227.07700000000003
208,0.4540625645216747,0.09522147977717653,28,238,238,235,237.658
209,0.6999740173749308,0.18089415132457867,82,191,193,184,191.37599999999998
210,0.5930485330055206,0.15101856883396103,58,191,193,185,191.48999999999998
211,1.23125,0.2708944455378532,216,144,143,132,142.045
212,0.6965001794687493,0.16849419856880238,76,190,192,184,190.48999999999998
213,0.7321538858054364,0.16028903461122973,76,207,210,204,208.419
214,1.3011697141418563,0.22548219165247863,190,159,161,149,159.034
215,1.3002373100707423,0.2802734579127878,236,144,144,132,142.63199999999998
216,0.7661501974156243,0.1551920249975812,77,208,211,203,209.191
217,0.8473290388036987,0.20046252087297886,110,168,170,163,168.60399999999998
218,0.7321538858054364,0.15185276963169136,72,202,204,194,202.262
219,0.34825008973437466,0.06651086785610621,15,240,240,235,239.42999999999998
220,1.7791455990165614,0.2838107586707199,327,145,144,132,142.93099999999998
221,0.05557267397945399,0.05557267397945399,1,241,242,234,240.789
222,0.5235346812771815,0.1415755878037013,48,222,226,213,223.32200000000003
223,0.5235346812771815,0.11208067367793022,38,228,231,222,229.07699999999997
224,0.6307077373871356,0.16158772603406985,66,210,213,204,211.077
225,0.38465479653840273,0.08831696193888981,22,239,239,236,238.65799999999996
226,2.131449873325667,0.25501171536340766,352,169,171,163,169.48999999999998
227,0.5572001435749995,0.15796331115825227,57,214,217,208,215.07699999999997
228,0.5235346812771815,0.1386260963911242,47,229,232,224,230.191
229,0.6625909843183801,0.14915130045863564,64,222,225,217,223.19099999999997
